channel_000:[-0.9741934537887573, 0.8263341784477234]
channel_001:[-66.99332427978516, 37.284584045410156]
channel_002:[-0.7157367467880249, 1.1563615798950195]
channel_003:[-0.58686763048172, 0.9717881083488464]
channel_004:[-0.5825662612915039, 0.9943904280662537]
channel_005:[-0.7276380062103271, 0.7442125678062439]
channel_006:[-1.00823974609375, 0.5949659943580627]
channel_007:[-0.9067197442054749, 0.592995285987854]
channel_008:[-0.7212063074111938, 0.7076569199562073]
channel_009:[-0.8203003406524658, 0.7736501693725586]
channel_010:[-0.6804564595222473, 0.9021892547607422]
channel_011:[-0.8896000385284424, 0.6996721625328064]
channel_012:[-0.7038006782531738, 0.7273049354553223]
channel_013:[-0.664983868598938, 0.7925271987915039]
channel_014:[-0.9096276164054871, 0.7419352531433105]
channel_015:[-0.8717424869537354, 1.099784016609192]
channel_016:[-1.270899772644043, 0.6235985159873962]
channel_017:[-0.8591210842132568, 1.0113452672958374]
channel_018:[-0.6225525140762329, 0.8759469985961914]
channel_019:[-0.6706905961036682, 0.7362065315246582]
channel_020:[-0.7531850337982178, 0.7278394103050232]
channel_021:[-0.7994688153266907, 0.7171920537948608]
channel_022:[-85.96491241455078, 70.85742950439453]
channel_023:[-0.2401639223098755, 1.6468439102172852]
channel_024:[-0.7856031060218811, 0.8192019462585449]
channel_025:[-1.3510751724243164, 0.7328885793685913]
channel_026:[-0.8068925142288208, 0.6404868364334106]
channel_027:[-0.2321152687072754, 1.3979887962341309]
channel_028:[-0.7169811725616455, 0.6564048528671265]
channel_029:[-0.8603958487510681, 0.6606581211090088]
channel_030:[-1.1859090328216553, 0.7604638338088989]
channel_031:[-0.8885217905044556, 0.8067399263381958]
channel_032:[-0.8286800384521484, 1.0217583179473877]
channel_033:[-0.8110466599464417, 0.8231542706489563]
channel_034:[-0.7025168538093567, 0.6883358955383301]
channel_035:[-0.6203479766845703, 0.9976978302001953]
channel_036:[-0.9291101098060608, 0.6459205150604248]
channel_037:[-0.7350744009017944, 0.5582631826400757]
channel_038:[-0.6796241998672485, 0.8757604956626892]
channel_039:[-0.7698546648025513, 0.8990998864173889]
channel_040:[-0.7846406102180481, 0.8264492750167847]
channel_041:[-0.8463119864463806, 1.1144338846206665]
channel_042:[-0.7378987073898315, 0.9944924116134644]
channel_043:[-78.38361358642578, 88.98028564453125]
channel_044:[-0.7090845108032227, 0.8041868209838867]
channel_045:[-0.9173452258110046, 0.6546865105628967]
channel_046:[-0.7888882160186768, 0.8064128160476685]
channel_047:[-0.7506637573242188, 0.8623104095458984]
channel_048:[-0.9339678287506104, 0.5824617147445679]
channel_049:[-0.6081671118736267, 0.8709537386894226]
channel_050:[-0.7364368438720703, 0.9577447772026062]
channel_051:[-0.7114088535308838, 0.8469853401184082]
channel_052:[-0.8782457113265991, 0.621026337146759]
channel_053:[-0.7756924629211426, 0.8189593553543091]
channel_054:[-0.9271106719970703, 0.7251565456390381]
channel_055:[-0.8630455136299133, 0.9808474779129028]
