channel_000:[-0.587497889995575, 0.5974345803260803]
channel_001:[-0.5582637190818787, 0.5668994784355164]
channel_002:[-0.5464920401573181, 0.5412599444389343]
channel_003:[-10.282148361206055, 10.496063232421875]
channel_004:[-0.5408737063407898, 0.551911473274231]
channel_005:[-0.5584716796875, 0.5668913722038269]
channel_006:[-7.064011573791504, 6.931195259094238]
channel_007:[-0.546444296836853, 0.5517207384109497]
channel_008:[-0.5794013738632202, 0.5814365148544312]
channel_009:[-7.1810221672058105, 7.0937581062316895]
channel_010:[-0.5712358355522156, 0.5702462792396545]
channel_011:[-0.5576097369194031, 0.5527983903884888]
channel_012:[-0.5640932321548462, 0.5673550367355347]
channel_013:[-0.5580477714538574, 0.5823885798454285]
channel_014:[-0.5401374101638794, 0.5389962196350098]
channel_015:[-0.5448163747787476, 0.5385140776634216]
channel_016:[-0.5569911003112793, 0.5700870156288147]
channel_017:[-0.5408111214637756, 0.5335052609443665]
channel_018:[-0.5701819658279419, 0.5756385326385498]
channel_019:[-0.5522398352622986, 0.5606666803359985]
channel_020:[-0.5480776429176331, 0.5506186485290527]
channel_021:[-0.5466055870056152, 0.5481845140457153]
channel_022:[-6.533067226409912, 6.704632759094238]
channel_023:[-0.590544581413269, 0.5808200240135193]
channel_024:[-0.5527104139328003, 0.5477011799812317]
channel_025:[-0.5443313121795654, 0.5374653339385986]
channel_026:[-7.194979667663574, 7.0502800941467285]
channel_027:[-0.5450902581214905, 0.5504708886146545]
channel_028:[-0.5655234456062317, 0.556081235408783]
channel_029:[-0.5445975661277771, 0.5425592660903931]
channel_030:[-7.101064682006836, 7.275730609893799]
channel_031:[-0.5425794720649719, 0.5445241928100586]
channel_032:[-0.5491671562194824, 0.5482304692268372]
channel_033:[-0.5605921745300293, 0.5633877515792847]
channel_034:[-0.5424749851226807, 0.5550642013549805]
channel_035:[-7.05507755279541, 7.165768146514893]
channel_036:[-7.068561553955078, 7.130344867706299]
channel_037:[-0.5382169485092163, 0.5563244223594666]
channel_038:[-7.044090747833252, 7.0811662673950195]
channel_039:[-0.5483702421188354, 0.5532845258712769]
channel_040:[-0.5463145971298218, 0.545216977596283]
channel_041:[-0.5452340841293335, 0.5392794609069824]
channel_042:[-0.5939275026321411, 0.6039432287216187]
channel_043:[-6.934396743774414, 6.921616554260254]
channel_044:[-0.5571633577346802, 0.5404698848724365]
channel_045:[-0.5449809432029724, 0.5424859523773193]
channel_046:[-0.55423903465271, 0.5514936447143555]
channel_047:[-0.5474481582641602, 0.5621305108070374]
channel_048:[-0.5531387329101562, 0.555676281452179]
channel_049:[-7.155394554138184, 7.033289909362793]
channel_050:[-12.2326078414917, 10.941604614257812]
channel_051:[-0.5573057532310486, 0.5518410205841064]
channel_052:[-0.5313407182693481, 0.5356594920158386]
channel_053:[-0.5402748584747314, 0.5417511463165283]
channel_054:[-6.813735008239746, 7.278353691101074]
channel_055:[-0.5277290940284729, 0.5264505743980408]
channel_056:[-0.5652641654014587, 0.5488266944885254]
channel_057:[-0.5314225554466248, 0.528242290019989]
channel_058:[-0.5902920961380005, 0.5848544239997864]
channel_059:[-6.98428201675415, 6.927910804748535]
channel_060:[-0.5542479157447815, 0.5495049357414246]
channel_061:[-0.5464820265769958, 0.5392336249351501]
channel_062:[-0.5495461225509644, 0.5465847253799438]
channel_063:[-0.5789456367492676, 0.5924701690673828]
channel_064:[-0.5526188015937805, 0.5489161014556885]
channel_065:[-7.8534345626831055, 8.81436538696289]
channel_066:[-0.5351216197013855, 0.5331788063049316]
channel_067:[-0.5394335985183716, 0.5389752984046936]
channel_068:[-0.5489134192466736, 0.559830904006958]
channel_069:[-0.5596057176589966, 0.5657806992530823]
channel_070:[-7.02957010269165, 6.882355690002441]
channel_071:[-0.544223964214325, 0.5422683954238892]
channel_072:[-7.1645097732543945, 6.834727764129639]
channel_073:[-0.5486280918121338, 0.5430536866188049]
channel_074:[-0.5393561124801636, 0.5375890135765076]
channel_075:[-0.5957425832748413, 0.6101011037826538]
channel_076:[-0.5463801622390747, 0.5432713627815247]
channel_077:[-0.5340506434440613, 0.5382888913154602]
channel_078:[-0.5430717468261719, 0.546048104763031]
channel_079:[-7.57634973526001, 7.695303916931152]
channel_080:[-0.5469775795936584, 0.5473878383636475]
channel_081:[-0.5674856901168823, 0.5455049276351929]
channel_082:[-0.5346943140029907, 0.5555903911590576]
channel_083:[-0.5479444265365601, 0.5311551690101624]
channel_084:[-0.5346201658248901, 0.5459149479866028]
channel_085:[-0.5421279072761536, 0.5422719120979309]
channel_086:[-0.5453718900680542, 0.5452920198440552]
channel_087:[-0.5810263752937317, 0.556030809879303]
channel_088:[-10.061667442321777, 8.629107475280762]
channel_089:[-7.282672882080078, 7.269997596740723]
channel_090:[-0.5545613169670105, 0.5485899448394775]
channel_091:[-0.5412012338638306, 0.5435226559638977]
channel_092:[-0.5435497164726257, 0.5339129567146301]
channel_093:[-0.5534906983375549, 0.5366039872169495]
channel_094:[-0.5605145692825317, 0.553553581237793]
channel_095:[-0.5411999821662903, 0.5367598533630371]
