Training Log
Epoch 1, Step 128, Save 1, Validation SSIM: 11.7736
Epoch 2, Step 128, Save 2, Validation SSIM: 11.8961
Epoch 3, Step 128, Save 3, Validation SSIM: 11.7264
Epoch 4, Step 128, Save 4, Validation SSIM: 11.3507
Epoch 5, Step 128, Save 5, Validation SSIM: 11.4879
Epoch 6, Step 128, Save 6, Validation SSIM: 11.6398
Epoch 7, Step 128, Save 7, Validation SSIM: 11.6554
Epoch 8, Step 128, Save 8, Validation SSIM: 11.7637
Epoch 9, Step 128, Save 9, Validation SSIM: 11.6438
Epoch 10, Step 128, Save 10, Validation SSIM: 11.8960
Epoch 11, Step 128, Save 11, Validation SSIM: 11.5676
Epoch 12, Step 128, Save 12, Validation SSIM: 11.7807
Epoch 13, Step 128, Save 13, Validation SSIM: 11.5081
Epoch 14, Step 128, Save 14, Validation SSIM: 11.7192
Epoch 15, Step 128, Save 15, Validation SSIM: 11.8237
Epoch 16, Step 128, Save 16, Validation SSIM: 11.6544
Epoch 17, Step 128, Save 17, Validation SSIM: 11.7479
Epoch 18, Step 128, Save 18, Validation SSIM: 11.7514
Epoch 19, Step 128, Save 19, Validation SSIM: 11.6559
Epoch 20, Step 128, Save 20, Validation SSIM: 11.6140
Epoch 21, Step 128, Save 21, Validation SSIM: 11.8246
Epoch 22, Step 128, Save 22, Validation SSIM: 11.8806
Epoch 23, Step 128, Save 23, Validation SSIM: 11.8850
Epoch 24, Step 128, Save 24, Validation SSIM: 11.8843
Epoch 25, Step 128, Save 25, Validation SSIM: 11.9306
Epoch 26, Step 128, Save 26, Validation SSIM: 11.8220
Epoch 27, Step 128, Save 27, Validation SSIM: 11.6196
Epoch 28, Step 128, Save 28, Validation SSIM: 11.7099
Epoch 29, Step 128, Save 29, Validation SSIM: 11.8539
Epoch 30, Step 128, Save 30, Validation SSIM: 11.6201
Epoch 31, Step 128, Save 31, Validation SSIM: 11.8242
Epoch 32, Step 128, Save 32, Validation SSIM: 11.6197
Epoch 33, Step 128, Save 33, Validation SSIM: 11.8820
Epoch 34, Step 128, Save 34, Validation SSIM: 11.8549
Epoch 35, Step 128, Save 35, Validation SSIM: 11.6269
Epoch 36, Step 128, Save 36, Validation SSIM: 11.7530
Epoch 37, Step 128, Save 37, Validation SSIM: 11.8194
Epoch 38, Step 128, Save 38, Validation SSIM: 11.6508
Epoch 39, Step 128, Save 39, Validation SSIM: 11.6108
Epoch 40, Step 128, Save 40, Validation SSIM: 11.8535
Epoch 41, Step 128, Save 41, Validation SSIM: 11.8582
Epoch 42, Step 128, Save 42, Validation SSIM: 11.7517
Epoch 43, Step 128, Save 43, Validation SSIM: 11.7498
Epoch 44, Step 128, Save 44, Validation SSIM: 11.7468
Epoch 45, Step 128, Save 45, Validation SSIM: 11.8570
Epoch 46, Step 128, Save 46, Validation SSIM: 11.8541
Epoch 47, Step 128, Save 47, Validation SSIM: 11.8209
Epoch 48, Step 128, Save 48, Validation SSIM: 11.7508
Epoch 48 completed. Average reward: 9.3757
Epoch 49, Step 128, Save 49, Validation SSIM: 11.8812
Epoch 50, Step 128, Save 50, Validation SSIM: 11.8545
Epoch 51, Step 128, Save 51, Validation SSIM: 11.7535
Epoch 52, Step 128, Save 52, Validation SSIM: 11.8251
Epoch 53, Step 128, Save 53, Validation SSIM: 11.6576
Epoch 54, Step 128, Save 54, Validation SSIM: 11.6252
Epoch 55, Step 128, Save 55, Validation SSIM: 11.9303
Epoch 56, Step 128, Save 56, Validation SSIM: 11.9287
Epoch 57, Step 128, Save 57, Validation SSIM: 11.8835
Epoch 58, Step 128, Save 58, Validation SSIM: 11.8820
Epoch 59, Step 128, Save 59, Validation SSIM: 11.6718
Epoch 60, Step 128, Save 60, Validation SSIM: 11.8056
Epoch 61, Step 128, Save 61, Validation SSIM: 11.4960
Epoch 62, Step 128, Save 62, Validation SSIM: 11.5059
Epoch 63, Step 128, Save 63, Validation SSIM: 11.6047
Epoch 64, Step 128, Save 64, Validation SSIM: 11.5194
Epoch 65, Step 128, Save 65, Validation SSIM: 11.8000
Epoch 66, Step 128, Save 66, Validation SSIM: 11.6509
Epoch 67, Step 128, Save 67, Validation SSIM: 11.7096
Epoch 68, Step 128, Save 68, Validation SSIM: 11.7007
Epoch 69, Step 128, Save 69, Validation SSIM: 11.4918
Epoch 70, Step 128, Save 70, Validation SSIM: 11.6108
Epoch 71, Step 128, Save 71, Validation SSIM: 11.5943
