Frame Index, Fixed Action 0 Bitrate (kbps), Fixed Action 1 Bitrate (kbps), Fixed Action 2 Bitrate (kbps), Fixed Action 3 Bitrate (kbps), Fixed Action 4 Bitrate (kbps), Fixed Action 5 Bitrate (kbps)
1, 168.99, 168.99, 168.99, 168.99, 168.99, 168.99
2, 51.86, 78.51, 110.50, 155.83, 234.85, 298.79
3, 51.95, 79.34, 113.23, 161.42, 245.61, 313.83
4, 62.22, 93.30, 131.89, 185.66, 276.02, 351.14
5, 60.05, 95.10, 136.59, 194.50, 286.97, 364.03
6, 59.67, 98.40, 141.61, 202.13, 299.55, 376.03
7, 60.86, 99.76, 143.26, 206.82, 309.51, 385.50
8, 59.36, 97.70, 141.82, 209.66, 317.41, 394.59
9, 168.38, 168.38, 168.38, 168.38, 168.38, 168.38
10, 45.02, 68.55, 98.31, 143.38, 223.40, 286.10
11, 49.17, 73.11, 106.20, 156.84, 239.96, 304.38
12, 52.51, 78.53, 114.72, 166.04, 257.16, 324.56
13, 54.33, 82.14, 119.81, 172.89, 271.13, 339.28
14, 61.48, 95.10, 137.13, 193.94, 296.65, 370.81
15, 60.38, 95.52, 138.16, 199.21, 311.22, 378.55
16, 61.93, 98.53, 143.45, 203.99, 316.98, 388.56
17, 171.18, 171.18, 171.18, 171.18, 171.18, 171.18
18, 45.45, 69.98, 100.23, 145.90, 226.20, 289.96
19, 54.87, 83.85, 119.47, 169.72, 254.51, 321.87
20, 58.16, 88.63, 128.34, 184.18, 275.78, 346.72
21, 59.04, 89.77, 131.25, 187.96, 286.95, 355.12
22, 59.65, 91.86, 133.51, 193.98, 297.11, 367.06
23, 59.48, 92.86, 137.47, 200.21, 306.43, 378.35
24, 65.04, 103.83, 150.80, 215.20, 326.81, 399.66
25, 169.94, 169.94, 169.94, 169.94, 169.94, 169.94
26, 46.70, 71.19, 101.94, 149.50, 229.69, 295.48
27, 51.40, 77.12, 111.10, 159.03, 246.35, 312.67
28, 53.71, 79.21, 115.11, 168.13, 260.62, 328.55
29, 55.40, 85.51, 125.55, 183.52, 278.80, 351.36
30, 56.08, 87.71, 128.21, 188.60, 287.80, 360.33
31, 60.06, 92.85, 136.05, 197.80, 301.93, 379.18
32, 61.37, 97.00, 142.02, 206.77, 316.85, 394.09
33, 171.09, 171.09, 171.09, 171.09, 171.09, 171.09
34, 52.12, 81.06, 115.67, 163.36, 245.88, 313.77
35, 51.51, 80.18, 116.85, 167.89, 253.40, 325.27
36, 54.95, 85.48, 124.00, 178.51, 271.25, 342.24
37, 57.88, 90.15, 132.66, 190.51, 289.09, 360.53
38, 59.92, 92.85, 136.34, 195.47, 296.00, 371.37
39, 64.70, 100.25, 146.05, 207.25, 311.44, 389.34
40, 65.68, 104.09, 150.22, 214.86, 318.96, 399.52
41, 169.34, 169.34, 169.34, 169.34, 169.34, 169.34
42, 48.13, 75.70, 108.25, 154.44, 234.80, 301.61
43, 51.06, 76.84, 112.36, 162.02, 246.08, 315.81
44, 56.44, 87.63, 128.83, 183.97, 276.65, 349.36
45, 57.01, 88.09, 130.04, 188.67, 287.21, 358.99
46, 58.52, 92.80, 138.87, 199.28, 301.30, 371.74
47, 58.92, 92.62, 139.74, 203.30, 308.92, 382.70
48, 60.16, 97.61, 146.08, 214.77, 323.92, 398.18
49, 170.14, 170.14, 170.14, 170.14, 170.14, 170.14
50, 46.86, 72.22, 103.61, 150.72, 232.93, 297.18
51, 51.67, 77.53, 111.94, 160.87, 246.06, 314.04
52, 56.76, 84.90, 123.46, 175.94, 266.49, 338.23
53, 57.19, 86.13, 126.76, 183.16, 278.39, 350.83
54, 66.06, 103.58, 148.13, 209.39, 307.96, 387.07
55, 62.22, 103.59, 149.33, 212.43, 316.07, 396.37
56, 65.63, 106.66, 154.16, 220.67, 330.44, 406.53
57, 171.68, 171.68, 171.68, 171.68, 171.68, 171.68
58, 49.54, 77.03, 110.14, 158.08, 239.83, 307.09
59, 55.47, 83.62, 118.61, 173.78, 260.22, 329.91
60, 58.35, 90.23, 129.57, 186.94, 279.55, 352.52
61, 59.67, 92.13, 134.53, 196.91, 292.88, 367.13
62, 64.47, 99.01, 142.90, 206.71, 312.83, 384.90
