Frame Index, Action Index, SSIM (dB)
1, 0, 16.8027
2, 0, 17.1501
3, 0, 16.7270
4, 0, 15.8936
5, 0, 15.4250
6, 0, 14.8594
7, 0, 16.6373
8, 0, 17.1843
9, 0, 16.5436
10, 0, 16.0370
11, 0, 15.3838
12, 0, 14.7095
13, 0, 14.2374
14, 0, 13.8344
15, 0, 16.5176
16, 0, 17.1038
17, 0, 16.4495
18, 0, 16.0186
19, 0, 15.3628
20, 0, 14.7206
21, 0, 14.3424
22, 0, 13.9674
23, 0, 16.4365
24, 0, 16.8087
25, 0, 16.4513
26, 0, 15.7904
27, 0, 15.3619
28, 0, 14.7884
29, 0, 14.1755
30, 0, 13.8607
31, 0, 16.5402
32, 0, 16.8867
33, 0, 16.3993
34, 0, 15.9244
35, 0, 15.3660
36, 0, 14.6599
37, 0, 14.1599
38, 0, 13.8620
39, 0, 16.4655
40, 0, 16.5906
41, 0, 16.5172
42, 0, 15.9431
43, 0, 15.3718
44, 0, 14.7312
45, 0, 14.1752
46, 0, 13.8362
47, 0, 16.4489
48, 0, 16.7640
49, 0, 16.4057
50, 0, 15.8887
51, 0, 15.4146
52, 0, 14.7437
53, 0, 14.2302
54, 0, 13.8441
55, 0, 16.2579
56, 0, 16.8241
57, 0, 16.3683
58, 0, 15.7473
59, 0, 15.2969
60, 0, 14.7061
61, 0, 14.2231
62, 0, 13.8804
63, 0, 16.4212
64, 0, 16.5833
65, 0, 16.2182
66, 0, 15.8176
67, 0, 15.2682
68, 0, 14.6568
69, 0, 14.1573
70, 0, 13.8376
71, 0, 16.2648
72, 0, 16.7467
73, 0, 16.3097
74, 0, 15.7000
75, 0, 15.1628
76, 0, 14.6824
77, 0, 14.1485
78, 0, 13.7382
79, 0, 16.3382
80, 0, 16.6584
81, 0, 16.1254
82, 0, 15.6498
83, 0, 15.0851
84, 0, 14.5737
85, 0, 14.1010
86, 0, 13.6881
87, 0, 16.2332
88, 0, 16.8449
89, 0, 16.4103
90, 0, 15.8743
91, 0, 15.2365
92, 0, 14.6822
93, 0, 14.2954
94, 0, 13.7063
95, 0, 16.1913
96, 0, 16.5956
97, 0, 16.1874
98, 0, 15.7552
99, 0, 14.7272
100, 0, 13.9666
101, 0, 13.5401
102, 0, 13.6643
103, 0, 16.1329
104, 0, 16.4205
105, 0, 16.1991
106, 0, 15.5929
107, 0, 15.0784
108, 0, 14.5701
109, 0, 14.1646
110, 0, 13.7523
111, 0, 16.2132
112, 0, 16.7593
113, 0, 16.3709
114, 0, 15.6325
115, 0, 15.1650
116, 0, 14.6949
117, 0, 14.1804
118, 0, 13.5743
119, 0, 16.4645
120, 0, 16.6821
121, 0, 16.2554
122, 0, 15.6781
123, 0, 15.0272
124, 0, 14.5369
125, 0, 14.0733
126, 0, 13.6966
127, 0, 16.2125
128, 0, 16.5494
129, 0, 16.1651
130, 0, 15.7414
131, 0, 15.1260
132, 0, 14.5246
133, 0, 14.0199
134, 0, 13.7446
135, 0, 16.2347
136, 0, 16.2913
137, 0, 16.0399
138, 0, 15.5009
139, 0, 15.0159
140, 0, 14.4972
141, 0, 14.0337
142, 0, 13.5965
143, 0, 16.1501
144, 0, 16.4999
145, 0, 16.1769
146, 0, 15.6594
147, 0, 15.0378
148, 0, 14.5157
149, 0, 14.0382
150, 0, 13.6780
151, 0, 16.2112
152, 0, 16.7653
153, 0, 16.3812
154, 0, 15.8817
155, 0, 15.0348
156, 0, 14.7231
157, 0, 14.2335
158, 0, 13.7476
159, 0, 16.3314
160, 0, 16.6200
161, 0, 16.2853
162, 0, 15.6775
163, 0, 15.2097
164, 0, 14.6038
165, 0, 14.0539
166, 0, 13.6790
167, 0, 16.1571
168, 0, 16.5527
169, 0, 16.0225
170, 0, 15.5579
171, 0, 15.0087
172, 0, 14.4397
173, 0, 14.1196
174, 0, 13.6783
175, 0, 16.2040
176, 0, 16.4912
177, 0, 16.0296
178, 0, 15.6758
179, 0, 15.0132
180, 0, 14.5153
181, 0, 14.0442
182, 0, 13.6418
183, 0, 16.1275
184, 0, 16.5255
185, 0, 16.0281
186, 0, 15.6677
187, 0, 15.0662
188, 0, 14.5628
189, 0, 13.9960
190, 0, 13.6519
191, 0, 16.1231
192, 0, 16.2883
193, 0, 15.7557
194, 0, 15.5105
195, 0, 15.0710
196, 0, 14.6227
197, 0, 14.0144
198, 0, 13.7015
